Statistic,Single.Year.of.Age,January 2024
Children in care in January 2024,1 year and under,164
Children in care in January 2024,2 years,115
Children in care in January 2024,3 years,160
Children in care in January 2024,4 years,162
Children in care in January 2024,5 years,215
Children in care in January 2024,6 years,261
Children in care in January 2024,7 years,251
Children in care in January 2024,8 years,278
Children in care in January 2024,9 years,328
Children in care in January 2024,10 years,337
Children in care in January 2024,11 years,388
Children in care in January 2024,12 years,399
Children in care in January 2024,13 years,401
Children in care in January 2024,14 years,436
Children in care in January 2024,15 years,464
Children in care in January 2024,16 years,442
Children in care in January 2024,17 years,456
Children in care in January 2024,18 years,NA
Children in care in January 2024,19 years,NA
Children in care in January 2024,20 years,NA
Children in care in January 2024,21 years,NA
Children in care in January 2024,22 years,NA
Children in care in January 2024,23 years,NA
Children in care in January 2024,All ages,5257
Children who left care since April 2018,1 year and under,6
Children who left care since April 2018,2 years,23
Children who left care since April 2018,3 years,26
Children who left care since April 2018,4 years,34
Children who left care since April 2018,5 years,34
Children who left care since April 2018,6 years,39
Children who left care since April 2018,7 years,43
Children who left care since April 2018,8 years,37
Children who left care since April 2018,9 years,40
Children who left care since April 2018,10 years,32
Children who left care since April 2018,11 years,45
Children who left care since April 2018,12 years,42
Children who left care since April 2018,13 years,65
Children who left care since April 2018,14 years,46
Children who left care since April 2018,15 years,69
Children who left care since April 2018,16 years,76
Children who left care since April 2018,17 years,80
Children who left care since April 2018,18 years,536
Children who left care since April 2018,19 years,556
Children who left care since April 2018,20 years,510
Children who left care since April 2018,21 years,441
Children who left care since April 2018,22 years,260
Children who left care since April 2018,23 years,138
Children who left care since April 2018,All ages,3178
Children in Care,1 year and under,170
Children in Care,2 years,138
Children in Care,3 years,186
Children in Care,4 years,196
Children in Care,5 years,249
Children in Care,6 years,300
Children in Care,7 years,294
Children in Care,8 years,315
Children in Care,9 years,368
Children in Care,10 years,369
Children in Care,11 years,433
Children in Care,12 years,441
Children in Care,13 years,466
Children in Care,14 years,482
Children in Care,15 years,533
Children in Care,16 years,518
Children in Care,17 years,536
Children in Care,18 years,536
Children in Care,19 years,556
Children in Care,20 years,510
Children in Care,21 years,441
Children in Care,22 years,260
Children in Care,23 years,138
Children in Care,All ages,8435
All Children,1 year and under,99495
All Children,2 years,64302
All Children,3 years,61293
All Children,4 years,65161
All Children,5 years,68471
All Children,6 years,70735
All Children,7 years,73710
All Children,8 years,75896
All Children,9 years,78458
All Children,10 years,79432
All Children,11 years,81387
All Children,12 years,82584
All Children,13 years,82787
All Children,14 years,82642
All Children,15 years,81874
All Children,16 years,79030
All Children,17 years,74169
All Children,18 years,70327
All Children,19 years,70047
All Children,20 years,68316
All Children,21 years,66474
All Children,22 years,64586
All Children,23 years,62988
All Children,All ages,1704164
Percentage of children in care in January 2024,1 year and under,3
Percentage of children in care in January 2024,2 years,2
Percentage of children in care in January 2024,3 years,3
Percentage of children in care in January 2024,4 years,3
Percentage of children in care in January 2024,5 years,4
Percentage of children in care in January 2024,6 years,5
Percentage of children in care in January 2024,7 years,5
Percentage of children in care in January 2024,8 years,5
Percentage of children in care in January 2024,9 years,6
Percentage of children in care in January 2024,10 years,6
Percentage of children in care in January 2024,11 years,7
Percentage of children in care in January 2024,12 years,8
Percentage of children in care in January 2024,13 years,8
Percentage of children in care in January 2024,14 years,8
Percentage of children in care in January 2024,15 years,9
Percentage of children in care in January 2024,16 years,8
Percentage of children in care in January 2024,17 years,9
Percentage of children in care in January 2024,18 years,NA
Percentage of children in care in January 2024,19 years,NA
Percentage of children in care in January 2024,20 years,NA
Percentage of children in care in January 2024,21 years,NA
Percentage of children in care in January 2024,22 years,NA
Percentage of children in care in January 2024,23 years,NA
Percentage of children in care in January 2024,All ages,NA
Percentage of children who left care since April 2018,1 year and under,0
Percentage of children who left care since April 2018,2 years,1
Percentage of children who left care since April 2018,3 years,1
Percentage of children who left care since April 2018,4 years,1
Percentage of children who left care since April 2018,5 years,1
Percentage of children who left care since April 2018,6 years,1
Percentage of children who left care since April 2018,7 years,1
Percentage of children who left care since April 2018,8 years,1
Percentage of children who left care since April 2018,9 years,1
Percentage of children who left care since April 2018,10 years,1
Percentage of children who left care since April 2018,11 years,1
Percentage of children who left care since April 2018,12 years,1
Percentage of children who left care since April 2018,13 years,2
Percentage of children who left care since April 2018,14 years,1
Percentage of children who left care since April 2018,15 years,2
Percentage of children who left care since April 2018,16 years,2
Percentage of children who left care since April 2018,17 years,3
Percentage of children who left care since April 2018,18 years,17
Percentage of children who left care since April 2018,19 years,17
Percentage of children who left care since April 2018,20 years,16
Percentage of children who left care since April 2018,21 years,14
Percentage of children who left care since April 2018,22 years,8
Percentage of children who left care since April 2018,23 years,4
Percentage of children who left care since April 2018,All ages,100
Percentage of children in care,1 year and under,2
Percentage of children in care,2 years,2
Percentage of children in care,3 years,2
Percentage of children in care,4 years,2
Percentage of children in care,5 years,3
Percentage of children in care,6 years,4
Percentage of children in care,7 years,3
Percentage of children in care,8 years,4
Percentage of children in care,9 years,4
Percentage of children in care,10 years,4
Percentage of children in care,11 years,5
Percentage of children in care,12 years,5
Percentage of children in care,13 years,6
Percentage of children in care,14 years,6
Percentage of children in care,15 years,6
Percentage of children in care,16 years,6
Percentage of children in care,17 years,6
Percentage of children in care,18 years,6
Percentage of children in care,19 years,7
Percentage of children in care,20 years,6
Percentage of children in care,21 years,5
Percentage of children in care,22 years,3
Percentage of children in care,23 years,2
Percentage of children in care,All ages,100
Percentage of  all children,1 year and under,6
Percentage of  all children,2 years,4
Percentage of  all children,3 years,4
Percentage of  all children,4 years,4
Percentage of  all children,5 years,4
Percentage of  all children,6 years,4
Percentage of  all children,7 years,4
Percentage of  all children,8 years,4
Percentage of  all children,9 years,5
Percentage of  all children,10 years,5
Percentage of  all children,11 years,5
Percentage of  all children,12 years,5
Percentage of  all children,13 years,5
Percentage of  all children,14 years,5
Percentage of  all children,15 years,5
Percentage of  all children,16 years,5
Percentage of  all children,17 years,4
Percentage of  all children,18 years,4
Percentage of  all children,19 years,4
Percentage of  all children,20 years,4
Percentage of  all children,21 years,4
Percentage of  all children,22 years,4
Percentage of  all children,23 years,4
Percentage of  all children,All ages,100
