Statistic,Children.in.Care,Post.Primary.School.Entry.Cohort,2013-2016
Entrants to Junior Cycle Year 1,Children in Care,2013,119
Entrants to Junior Cycle Year 1,Children in Care,2014,223
Entrants to Junior Cycle Year 1,Children in Care,2015,360
Entrants to Junior Cycle Year 1,Children in Care,2016,430
Entrants to Junior Cycle Year 1,Children in Care,All years,1132
Entrants to Junior Cycle Year 1,All children,2013,54259
Entrants to Junior Cycle Year 1,All children,2014,59162
Entrants to Junior Cycle Year 1,All children,2015,59721
Entrants to Junior Cycle Year 1,All children,2016,62829
Entrants to Junior Cycle Year 1,All children,All years,235971
Early School Leavers,Children in Care,2013,28
Early School Leavers,Children in Care,2014,66
Early School Leavers,Children in Care,2015,98
Early School Leavers,Children in Care,2016,128
Early School Leavers,Children in Care,All years,320
Early School Leavers,All children,2013,4169
Early School Leavers,All children,2014,4707
Early School Leavers,All children,2015,4371
Early School Leavers,All children,2016,4911
Early School Leavers,All children,All years,18158
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,Children in Care,2013,24
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,Children in Care,2014,30
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,Children in Care,2015,27
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,Children in Care,2016,30
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,Children in Care,All years,28
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,All children,2013,8
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,All children,2014,8
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,All children,2015,7
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,All children,2016,8
Percentage of Entrants to Junior Cycle Year 1 who are Early School Leavers,All children,All years,8
