Statistic,Year.of.Outcome,Employment.Education.Status,.
Children who left care since April 2018 aged 18-23 in January 2024,2019,Substantial employment only,9
Children who left care since April 2018 aged 18-23 in January 2024,2019,Substantial employment and education,135
Children who left care since April 2018 aged 18-23 in January 2024,2019,Education only,2152
Children who left care since April 2018 aged 18-23 in January 2024,2019,Neither employment nor education,27
Children who left care since April 2018 aged 18-23 in January 2024,2019,Employment/Education status not identified,118
Children who left care since April 2018 aged 18-23 in January 2024,2019,Employment/Education status all outcomes,2441
Children who left care since April 2018 aged 18-23 in January 2024,2020,Substantial employment only,21
Children who left care since April 2018 aged 18-23 in January 2024,2020,Substantial employment and education,167
Children who left care since April 2018 aged 18-23 in January 2024,2020,Education only,2070
Children who left care since April 2018 aged 18-23 in January 2024,2020,Neither employment nor education,67
Children who left care since April 2018 aged 18-23 in January 2024,2020,Employment/Education status not identified,116
Children who left care since April 2018 aged 18-23 in January 2024,2020,Employment/Education status all outcomes,2441
Children who left care since April 2018 aged 18-23 in January 2024,2021,Substantial employment only,43
Children who left care since April 2018 aged 18-23 in January 2024,2021,Substantial employment and education,503
Children who left care since April 2018 aged 18-23 in January 2024,2021,Education only,1674
Children who left care since April 2018 aged 18-23 in January 2024,2021,Neither employment nor education,131
Children who left care since April 2018 aged 18-23 in January 2024,2021,Employment/Education status not identified,90
Children who left care since April 2018 aged 18-23 in January 2024,2021,Employment/Education status all outcomes,2441
Children who left care since April 2018 aged 18-23 in January 2024,2022,Substantial employment only,159
Children who left care since April 2018 aged 18-23 in January 2024,2022,Substantial employment and education,711
Children who left care since April 2018 aged 18-23 in January 2024,2022,Education only,1248
Children who left care since April 2018 aged 18-23 in January 2024,2022,Neither employment nor education,228
Children who left care since April 2018 aged 18-23 in January 2024,2022,Employment/Education status not identified,95
Children who left care since April 2018 aged 18-23 in January 2024,2022,Employment/Education status all outcomes,2441
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2019,Substantial employment only,0
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2019,Substantial employment and education,6
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2019,Education only,88
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2019,Neither employment nor education,1
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2019,Employment/Education status not identified,5
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2019,Employment/Education status all outcomes,100
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2020,Substantial employment only,1
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2020,Substantial employment and education,7
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2020,Education only,85
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2020,Neither employment nor education,3
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2020,Employment/Education status not identified,5
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2020,Employment/Education status all outcomes,100
