Statistic,Education.Enrolments,Age.Group,2021,2022
Children who left care since April 2018 aged 18-23 in January 2024,Primary and Post-primary school enrolments,18 - 19 years,837,623
Children who left care since April 2018 aged 18-23 in January 2024,Primary and Post-primary school enrolments,20 - 23 years,279,66
Children who left care since April 2018 aged 18-23 in January 2024,Primary and Post-primary school enrolments,All ages,1116,689
Children who left care since April 2018 aged 18-23 in January 2024,Further education enrolments,18 - 19 years,184,338
Children who left care since April 2018 aged 18-23 in January 2024,Further education enrolments,20 - 23 years,591,542
Children who left care since April 2018 aged 18-23 in January 2024,Further education enrolments,All ages,775,880
Children who left care since April 2018 aged 18-23 in January 2024,Further education  of which PLC courses,18 - 19 years,12,113
Children who left care since April 2018 aged 18-23 in January 2024,Further education  of which PLC courses,20 - 23 years,297,276
Children who left care since April 2018 aged 18-23 in January 2024,Further education  of which PLC courses,All ages,309,389
Children who left care since April 2018 aged 18-23 in January 2024,Further education of which Youthreach programmes,18 - 19 years,91,105
Children who left care since April 2018 aged 18-23 in January 2024,Further education of which Youthreach programmes,20 - 23 years,60,35
Children who left care since April 2018 aged 18-23 in January 2024,Further education of which Youthreach programmes,All ages,151,140
Children who left care since April 2018 aged 18-23 in January 2024,Higher education courses,18 - 19 years,8,45
Children who left care since April 2018 aged 18-23 in January 2024,Higher education courses,20 - 23 years,277,345
Children who left care since April 2018 aged 18-23 in January 2024,Higher education courses,All ages,285,390
Children who left care since April 2018 aged 18-23 in January 2024,Total enrolled in any type of education,18 - 19 years,1029,1006
Children who left care since April 2018 aged 18-23 in January 2024,Total enrolled in any type of education,20 - 23 years,1147,953
Children who left care since April 2018 aged 18-23 in January 2024,Total enrolled in any type of education,All ages,2176,1959
Children who left care since April 2018 aged 18-23 in January 2024,Total not enrolled in any type of education,18 - 19 years,63,86
Children who left care since April 2018 aged 18-23 in January 2024,Total not enrolled in any type of education,20 - 23 years,202,396
Children who left care since April 2018 aged 18-23 in January 2024,Total not enrolled in any type of education,All ages,265,482
Children who left care since April 2018 aged 18-23 in January 2024,All enrolled or not enrolled in education,18 - 19 years,1092,1092
Children who left care since April 2018 aged 18-23 in January 2024,All enrolled or not enrolled in education,20 - 23 years,1349,1349
Children who left care since April 2018 aged 18-23 in January 2024,All enrolled or not enrolled in education,All ages,2441,2441
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Primary and Post-primary school enrolments,18 - 19 years,77,57
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Primary and Post-primary school enrolments,20 - 23 years,21,5
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Primary and Post-primary school enrolments,All ages,46,28
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education enrolments,18 - 19 years,17,31
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education enrolments,20 - 23 years,44,40
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education enrolments,All ages,32,36
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education  of which PLC courses,18 - 19 years,1,10
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education  of which PLC courses,20 - 23 years,22,20
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education  of which PLC courses,All ages,13,16
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education of which Youthreach programmes,18 - 19 years,8,10
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education of which Youthreach programmes,20 - 23 years,4,3
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Further education of which Youthreach programmes,All ages,6,6
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Higher education courses,18 - 19 years,1,4
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Higher education courses,20 - 23 years,21,26
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Higher education courses,All ages,12,16
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Total enrolled in any type of education,18 - 19 years,94,92
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Total enrolled in any type of education,20 - 23 years,85,71
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Total enrolled in any type of education,All ages,89,80
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Total not enrolled in any type of education,18 - 19 years,6,8
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Total not enrolled in any type of education,20 - 23 years,15,29
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,Total not enrolled in any type of education,All ages,11,20
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,All enrolled or not enrolled in education,18 - 19 years,100,100
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,All enrolled or not enrolled in education,20 - 23 years,100,100
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,All enrolled or not enrolled in education,All ages,100,100
All children aged 18-23 in January 2024,Primary and Post-primary school enrolments,18 - 19 years,121936,101301
All children aged 18-23 in January 2024,Primary and Post-primary school enrolments,20 - 23 years,50369,10508
All children aged 18-23 in January 2024,Primary and Post-primary school enrolments,All ages,172305,111809
All children aged 18-23 in January 2024,Further education enrolments,18 - 19 years,5314,11955
All children aged 18-23 in January 2024,Further education enrolments,20 - 23 years,34272,29036
All children aged 18-23 in January 2024,Further education enrolments,All ages,39586,40991
All children aged 18-23 in January 2024,Further education  of which PLC courses,18 - 19 years,1057,6246
All children aged 18-23 in January 2024,Further education  of which PLC courses,20 - 23 years,20798,16471
All children aged 18-23 in January 2024,Further education  of which PLC courses,All ages,21855,22717
All children aged 18-23 in January 2024,Further education of which Youthreach programmes,18 - 19 years,1311,1779
All children aged 18-23 in January 2024,Further education of which Youthreach programmes,20 - 23 years,1865,939
All children aged 18-23 in January 2024,Further education of which Youthreach programmes,All ages,3176,2718
All children aged 18-23 in January 2024,Higher education courses,18 - 19 years,1590,14334
All children aged 18-23 in January 2024,Higher education courses,20 - 23 years,120371,141812
All children aged 18-23 in January 2024,Higher education courses,All ages,121961,156146
All children aged 18-23 in January 2024,Total enrolled in any type of education,18 - 19 years,128840,127590
All children aged 18-23 in January 2024,Total enrolled in any type of education,20 - 23 years,205012,181356
All children aged 18-23 in January 2024,Total enrolled in any type of education,All ages,333852,308946
All children aged 18-23 in January 2024,Total not enrolled in any type of education,18 - 19 years,11534,12784
All children aged 18-23 in January 2024,Total not enrolled in any type of education,20 - 23 years,57352,81008
All children aged 18-23 in January 2024,Total not enrolled in any type of education,All ages,68886,93792
All children aged 18-23 in January 2024,All enrolled or not enrolled in education,18 - 19 years,140374,140374
All children aged 18-23 in January 2024,All enrolled or not enrolled in education,20 - 23 years,262364,262364
All children aged 18-23 in January 2024,All enrolled or not enrolled in education,All ages,402738,402738
Percentage of All children aged 18-23 in January 2024,Primary and Post-primary school enrolments,18 - 19 years,87,72
Percentage of All children aged 18-23 in January 2024,Primary and Post-primary school enrolments,20 - 23 years,19,4
Percentage of All children aged 18-23 in January 2024,Primary and Post-primary school enrolments,All ages,43,28
Percentage of All children aged 18-23 in January 2024,Further education enrolments,18 - 19 years,4,9
Percentage of All children aged 18-23 in January 2024,Further education enrolments,20 - 23 years,13,11
Percentage of All children aged 18-23 in January 2024,Further education enrolments,All ages,10,10
Percentage of All children aged 18-23 in January 2024,Further education  of which PLC courses,18 - 19 years,1,4
Percentage of All children aged 18-23 in January 2024,Further education  of which PLC courses,20 - 23 years,8,6
Percentage of All children aged 18-23 in January 2024,Further education  of which PLC courses,All ages,5,6
Percentage of All children aged 18-23 in January 2024,Further education of which Youthreach programmes,18 - 19 years,1,1
Percentage of All children aged 18-23 in January 2024,Further education of which Youthreach programmes,20 - 23 years,1,0
Percentage of All children aged 18-23 in January 2024,Further education of which Youthreach programmes,All ages,1,1
Percentage of All children aged 18-23 in January 2024,Higher education courses,18 - 19 years,1,10
Percentage of All children aged 18-23 in January 2024,Higher education courses,20 - 23 years,46,54
Percentage of All children aged 18-23 in January 2024,Higher education courses,All ages,30,39
Percentage of All children aged 18-23 in January 2024,Total enrolled in any type of education,18 - 19 years,92,91
Percentage of All children aged 18-23 in January 2024,Total enrolled in any type of education,20 - 23 years,78,69
Percentage of All children aged 18-23 in January 2024,Total enrolled in any type of education,All ages,83,77
Percentage of All children aged 18-23 in January 2024,Total not enrolled in any type of education,18 - 19 years,8,9
Percentage of All children aged 18-23 in January 2024,Total not enrolled in any type of education,20 - 23 years,22,31
Percentage of All children aged 18-23 in January 2024,Total not enrolled in any type of education,All ages,17,23
Percentage of All children aged 18-23 in January 2024,All enrolled or not enrolled in education,18 - 19 years,100,100
Percentage of All children aged 18-23 in January 2024,All enrolled or not enrolled in education,20 - 23 years,100,100
Percentage of All children aged 18-23 in January 2024,All enrolled or not enrolled in education,All ages,100,100
