Statistic,Placement.Type,January 2024
Children in care in January 2024,Foster Care (General),3311
Children in care in January 2024,Foster Care (Relative),1320
Children in care in January 2024,Residential Care (General),446
Children in care in January 2024,Residential Special Care,10
Children in care in January 2024,Other Care Placements,170
Children in care in January 2024,Total number of children in care placements,5257
Percentage of children in care in January 2024,Foster Care (General),63
Percentage of children in care in January 2024,Foster Care (Relative),25.1
Percentage of children in care in January 2024,Residential Care (General),8.5
Percentage of children in care in January 2024,Residential Special Care,0.2
Percentage of children in care in January 2024,Other Care Placements,3.2
Percentage of children in care in January 2024,Total number of children in care placements,100
Children who left care since April 2018,Foster Care (General),1569
Children who left care since April 2018,Foster Care (Relative),830
Children who left care since April 2018,Residential Care (General),500
Children who left care since April 2018,Residential Special Care,13
Children who left care since April 2018,Other Care Placements,266
Children who left care since April 2018,Total number of children in care placements,3178
Percentage of children who left care since April 2018,Foster Care (General),49.4
Percentage of children who left care since April 2018,Foster Care (Relative),26.1
Percentage of children who left care since April 2018,Residential Care (General),15.7
Percentage of children who left care since April 2018,Residential Special Care,0.4
Percentage of children who left care since April 2018,Other Care Placements,8.4
Percentage of children who left care since April 2018,Total number of children in care placements,100
