Statistic,Nationality,January 2024
Children in care in January 2024,All nationalities,5257
Children in care in January 2024,Irish,4964
Children in care in January 2024,Non-Irish,293
Children who left care since April 2018,All nationalities,3178
Children who left care since April 2018,Irish,2961
Children who left care since April 2018,Non-Irish,217
Children in Care,All nationalities,8435
Children in Care,Irish,7925
Children in Care,Non-Irish,510
All Children,All nationalities,1704164
All Children,Irish,1476671
All Children,Non-Irish,227493
Percentage of children in care in January 2024,All nationalities,100
Percentage of children in care in January 2024,Irish,94
Percentage of children in care in January 2024,Non-Irish,6
Percentage of children who left care since April 2018,All nationalities,100
Percentage of children who left care since April 2018,Irish,93
Percentage of children who left care since April 2018,Non-Irish,7
Percentage of children in care,All nationalities,100
Percentage of children in care,Irish,94
Percentage of children in care,Non-Irish,6
Percentage of  all children,All nationalities,100
Percentage of  all children,Irish,87
Percentage of  all children,Non-Irish,13
