Statistic,Legal.Status,January 2024
Children in care in January 2024,Care order,3825
Children in care in January 2024,Voluntary care arrangement,738
Children in care in January 2024,Interim care order,416
Children in care in January 2024,Legal status not available,214
Children in care in January 2024,Other legal status,64
Children in care in January 2024,Total number of children assigned legal status,5257
Percentage of children in care in January 2024,Care order,72.8
Percentage of children in care in January 2024,Voluntary care arrangement,14
Percentage of children in care in January 2024,Interim care order,7.9
Percentage of children in care in January 2024,Legal status not available,4.1
Percentage of children in care in January 2024,Other legal status,1.2
Percentage of children in care in January 2024,Total number of children assigned legal status,100
Children who left care since April 2018,Care order,1573
Children who left care since April 2018,Voluntary care arrangement,1073
Children who left care since April 2018,Interim care order,229
Children who left care since April 2018,Legal status not available,151
Children who left care since April 2018,Other legal status,152
Children who left care since April 2018,Total number of children assigned legal status,3178
Percentage of children who left care since April 2018,Care order,49.5
Percentage of children who left care since April 2018,Voluntary care arrangement,33.8
Percentage of children who left care since April 2018,Interim care order,7.2
Percentage of children who left care since April 2018,Legal status not available,4.8
Percentage of children who left care since April 2018,Other legal status,4.8
Percentage of children who left care since April 2018,Total number of children assigned legal status,100
