Statistic,Number.of.Placements,January 2024
Children in care in January 2024,1 care placement,2611
Children in care in January 2024,2 care placements,1140
Children in care in January 2024,3 care placements,571
Children in care in January 2024,4 care placements,301
Children in care in January 2024,5 care placements,170
Children in care in January 2024,More than 5 care placements,464
Children in care in January 2024,Total number of children in care placements,5257
Percentage of children in care in January 2024,1 care placement,50
Percentage of children in care in January 2024,2 care placements,22
Percentage of children in care in January 2024,3 care placements,11
Percentage of children in care in January 2024,4 care placements,6
Percentage of children in care in January 2024,5 care placements,3
Percentage of children in care in January 2024,More than 5 care placements,9
Percentage of children in care in January 2024,Total number of children in care placements,100
Children who left care since April 2018,1 care placement,1503
Children who left care since April 2018,2 care placements,604
Children who left care since April 2018,3 care placements,309
Children who left care since April 2018,4 care placements,182
Children who left care since April 2018,5 care placements,138
Children who left care since April 2018,More than 5 care placements,442
Children who left care since April 2018,Total number of children in care placements,3178
Percentage of children who left care since April 2018,1 care placement,47
Percentage of children who left care since April 2018,2 care placements,19
Percentage of children who left care since April 2018,3 care placements,10
Percentage of children who left care since April 2018,4 care placements,6
Percentage of children who left care since April 2018,5 care placements,4
Percentage of children who left care since April 2018,More than 5 care placements,14
Percentage of children who left care since April 2018,Total number of children in care placements,100
Children in care,1 care placement,4114
Children in care,2 care placements,1744
Children in care,3 care placements,880
Children in care,4 care placements,483
Children in care,5 care placements,308
Children in care,More than 5 care placements,906
Children in care,Total number of children in care placements,8435
Percentage of children in care,1 care placement,49
Percentage of children in care,2 care placements,21
Percentage of children in care,3 care placements,10
Percentage of children in care,4 care placements,6
Percentage of children in care,5 care placements,4
Percentage of children in care,More than 5 care placements,11
Percentage of children in care,Total number of children in care placements,100
