Statistic,Employment.Education.Outcomes,Age.in.January.2024,2021,2022
Children who left care since April 2018,Substantial employment only or with education,18 years,25,126
Children who left care since April 2018,Substantial employment only or with education,19 years,87,164
Children who left care since April 2018,Substantial employment only or with education,20 years,129,188
Children who left care since April 2018,Substantial employment only or with education,21 years,151,203
Children who left care since April 2018,Substantial employment only or with education,22 years,88,112
Children who left care since April 2018,Substantial employment only or with education,23 years,66,77
Children who left care since April 2018,Education only,18 years,479,378
Children who left care since April 2018,Education only,19 years,442,349
Children who left care since April 2018,Education only,20 years,349,255
Children who left care since April 2018,Education only,21 years,231,150
Children who left care since April 2018,Education only,22 years,120,79
Children who left care since April 2018,Education only,23 years,53,37
Children who left care since April 2018,Neither employment nor education or employment/education status not identified,18 years,32,32
Children who left care since April 2018,Neither employment nor education or employment/education status not identified,19 years,27,43
Children who left care since April 2018,Neither employment nor education or employment/education status not identified,20 years,32,67
Children who left care since April 2018,Neither employment nor education or employment/education status not identified,21 years,59,88
Children who left care since April 2018,Neither employment nor education or employment/education status not identified,22 years,52,69
Children who left care since April 2018,Neither employment nor education or employment/education status not identified,23 years,19,24
Children who left care since April 2018,Employment/education status all outcomes,18 years,536,536
Children who left care since April 2018,Employment/education status all outcomes,19 years,556,556
Children who left care since April 2018,Employment/education status all outcomes,20 years,510,510
Children who left care since April 2018,Employment/education status all outcomes,21 years,441,441
Children who left care since April 2018,Employment/education status all outcomes,22 years,260,260
Children who left care since April 2018,Employment/education status all outcomes,23 years,138,138
Percentage of children who left care since April 2018,Substantial employment only or with education,18 years,5,24
Percentage of children who left care since April 2018,Substantial employment only or with education,19 years,16,29
Percentage of children who left care since April 2018,Substantial employment only or with education,20 years,25,37
Percentage of children who left care since April 2018,Substantial employment only or with education,21 years,34,46
Percentage of children who left care since April 2018,Substantial employment only or with education,22 years,34,43
Percentage of children who left care since April 2018,Substantial employment only or with education,23 years,48,56
Percentage of children who left care since April 2018,Education only,18 years,89,71
Percentage of children who left care since April 2018,Education only,19 years,79,63
Percentage of children who left care since April 2018,Education only,20 years,68,50
Percentage of children who left care since April 2018,Education only,21 years,52,34
Percentage of children who left care since April 2018,Education only,22 years,46,30
Percentage of children who left care since April 2018,Education only,23 years,38,27
Percentage of children who left care since April 2018,Neither employment nor education or employment/education status not identified,18 years,6,6
Percentage of children who left care since April 2018,Neither employment nor education or employment/education status not identified,19 years,5,8
Percentage of children who left care since April 2018,Neither employment nor education or employment/education status not identified,20 years,6,13
Percentage of children who left care since April 2018,Neither employment nor education or employment/education status not identified,21 years,13,20
Percentage of children who left care since April 2018,Neither employment nor education or employment/education status not identified,22 years,20,27
Percentage of children who left care since April 2018,Neither employment nor education or employment/education status not identified,23 years,14,17
Percentage of children who left care since April 2018,Employment/education status all outcomes,18 years,NA,NA
Percentage of children who left care since April 2018,Employment/education status all outcomes,19 years,NA,NA
Percentage of children who left care since April 2018,Employment/education status all outcomes,20 years,NA,NA
Percentage of children who left care since April 2018,Employment/education status all outcomes,21 years,NA,NA
Percentage of children who left care since April 2018,Employment/education status all outcomes,22 years,NA,NA
Percentage of children who left care since April 2018,Employment/education status all outcomes,23 years,NA,NA
All Children,Substantial employment only or with education,18 years,7245,25049
All Children,Substantial employment only or with education,19 years,19146,35114
All Children,Substantial employment only or with education,20 years,30517,44542
All Children,Substantial employment only or with education,21 years,41121,49944
All Children,Substantial employment only or with education,22 years,44664,49217
All Children,Substantial employment only or with education,23 years,44147,48067
All Children,Education only,18 years,57278,40294
All Children,Education only,19 years,45739,29924
All Children,Education only,20 years,33196,17874
All Children,Education only,21 years,19631,9365
All Children,Education only,22 years,12631,7844
All Children,Education only,23 years,10804,6736
All Children,Neither employment nor education or employment/education status not identified,18 years,5804,4984
All Children,Neither employment nor education or employment/education status not identified,19 years,5162,5009
All Children,Neither employment nor education or employment/education status not identified,20 years,4603,5900
All Children,Neither employment nor education or employment/education status not identified,21 years,5722,7165
All Children,Neither employment nor education or employment/education status not identified,22 years,7291,7525
All Children,Neither employment nor education or employment/education status not identified,23 years,8037,8185
All Children,Employment/education status all outcomes,18 years,70327,70327
All Children,Employment/education status all outcomes,19 years,70047,70047
All Children,Employment/education status all outcomes,20 years,68316,68316
All Children,Employment/education status all outcomes,21 years,66474,66474
All Children,Employment/education status all outcomes,22 years,64586,64586
All Children,Employment/education status all outcomes,23 years,62988,62988
Percentage of all children,Substantial employment only or with education,18 years,10,36
Percentage of all children,Substantial employment only or with education,19 years,27,50
Percentage of all children,Substantial employment only or with education,20 years,45,65
Percentage of all children,Substantial employment only or with education,21 years,62,75
Percentage of all children,Substantial employment only or with education,22 years,69,76
Percentage of all children,Substantial employment only or with education,23 years,70,76
Percentage of all children,Education only,18 years,81,57
Percentage of all children,Education only,19 years,65,43
Percentage of all children,Education only,20 years,49,26
Percentage of all children,Education only,21 years,30,14
Percentage of all children,Education only,22 years,20,12
Percentage of all children,Education only,23 years,17,11
Percentage of all children,Neither employment nor education or employment/education status not identified,18 years,8,7
Percentage of all children,Neither employment nor education or employment/education status not identified,19 years,7,7
Percentage of all children,Neither employment nor education or employment/education status not identified,20 years,7,9
Percentage of all children,Neither employment nor education or employment/education status not identified,21 years,9,11
Percentage of all children,Neither employment nor education or employment/education status not identified,22 years,11,12
Percentage of all children,Neither employment nor education or employment/education status not identified,23 years,13,13
Percentage of all children,Employment/education status all outcomes,18 years,NA,NA
Percentage of all children,Employment/education status all outcomes,19 years,NA,NA
Percentage of all children,Employment/education status all outcomes,20 years,NA,NA
Percentage of all children,Employment/education status all outcomes,21 years,NA,NA
Percentage of all children,Employment/education status all outcomes,22 years,NA,NA
Percentage of all children,Employment/education status all outcomes,23 years,NA,NA
